state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,effective_to_date,year,month,weekday
Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate L3,Offer1,Agent,Two-Door Car,Medsize,2011-02-24,2011,February,Thursday
Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal L3,Offer3,Agent,Four-Door Car,Medsize,2011-01-31,2011,January,Monday
Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal L3,Offer1,Agent,Two-Door Car,Medsize,2011-02-19,2011,February,Saturday
California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate L2,Offer1,Call Center,SUV,Medsize,2011-01-20,2011,January,Thursday
Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal L1,Offer1,Agent,Four-Door Car,Medsize,2011-02-03,2011,February,Thursday
Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal L3,Offer2,Web,Two-Door Car,Medsize,2011-01-25,2011,January,Tuesday
Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,2011-02-24,2011,February,Thursday
Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,2011-01-18,2011,January,Tuesday
Oregon,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,2011-01-26,2011,January,Wednesday
Oregon,No,Extended,College,Employed,F,Urban,Married,Special L2,Offer2,Branch,Four-Door Car,Medsize,2011-02-17,2011,February,Thursday
California,No,Basic,College,Unemployed,M,Suburban,Single,Personal L3,Offer1,Agent,Four-Door Car,Small,2011-02-21,2011,February,Monday
California,No,Basic,College,Unemployed,F,Suburban,Married,Personal L3,Offer2,Agent,SUV,Medsize,2011-01-06,2011,January,Thursday
California,No,Premium,Master,Employed,M,Urban,Married,Corporate L1,Offer2,Agent,Four-Door Car,Medsize,2011-02-06,2011,February,Sunday
Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate L3,Offer2,Branch,SUV,Medsize,2011-01-10,2011,January,Monday
California,No,Basic,College,Employed,M,Urban,Single,Corporate L3,Offer4,Call Center,Four-Door Car,Medsize,2011-01-18,2011,January,Tuesday
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate L2,Offer2,Branch,Four-Door Car,Medsize,2011-01-17,2011,January,Monday
Nevada,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Personal L3,Offer2,Call Center,Two-Door Car,Medsize,2011-02-06,2011,February,Sunday
California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal L2,Offer3,Call Center,SUV,Medsize,2011-01-05,2011,January,Wednesday
Oregon,No,Basic,College,Employed,M,Urban,Married,Personal L2,Offer2,Branch,Four-Door Car,Medsize,2011-02-27,2011,February,Sunday
California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate L2,Offer1,Call Center,Four-Door Car,Small,2011-01-14,2011,January,Friday
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal L2,Offer1,Branch,Two-Door Car,Medsize,2011-02-19,2011,February,Saturday
